project_name,task_name,source_datasets,target_datasets,location
datalake-cleansing,OfficialBusinessTask,['manual.officialBusiness'],['clean.officialBusiness'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/datascience/official/business/OfficialBusinessTask.scala
datalake-cleansing,ExtraPool2019Task,[],['clean.extraPool2019'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/datascience/official/extrapool/ExtraPool2019Task.scala
datalake-cleansing,ExtraPoolMultiTask,[],['clean.extraPoolTill2018'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/datascience/official/extrapool/ExtraPoolMultiTask.scala
datalake-cleansing,OfficialLmcTask,['manual.officialLmc'],['clean.officialLmc'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/datascience/official/lmc/OfficialLmcTask.scala
datalake-cleansing,OfficialMarketFigureTask,[],['clean.officials'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/datascience/official/marketfigure/OfficialMarketFigureTask.scala
datalake-cleansing,CleansingBeDemographicsTask,['manual.beDemographics'],['clean.beDemographics'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/be/CleansingBeDemographicsTask.scala
datalake-cleansing,CleansingChannelTask,['manual.channelDemographics'],['clean.channelDemographics'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/channel/CleansingChannelTask.scala
datalake-cleansing,CleansingDEDemographicsTask,['manual.deDemographics'],"['clean.deDemographics', 'clean.deDemographicsRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/de/CleansingDEDemographicsTask.scala
datalake-cleansing,CleansingESDemographicsTask,['manual.esDemographics'],"['clean.esDemographics', 'clean.esDemographicsRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/es/CleansingESDemographicsTask.scala
datalake-cleansing,CleansingFRDemographicsTask,['manual.frDemographics'],"['clean.frDemographics', 'clean.frDemographicsRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/fr/CleansingFRDemographicsTask.scala
datalake-cleansing,CleansingItDemographicsTask,['manual.itDemographics'],['clean.itDemographics'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/it/CleansingItDemographicsTask.scala
datalake-cleansing,CleansingMosaicTask,['manual.mosaic'],['clean.mosaic'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/mosaic/CleansingMosaicTask.scala
datalake-cleansing,CleansingNLDemographicsTask,['manual.nlDemographics'],"['clean.nlDemographics', 'clean.nlDemographicsRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/nl/CleansingNLDemographicsTask.scala
datalake-cleansing,PlDemographicsTask,[],['clean.plDemographics'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/pl/PlDemographicsTask.scala
datalake-cleansing,PtDemographicsTask,['manual.ptDemographics'],['clean.ptDemographics'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/pt/PtDemographicsTask.scala
datalake-cleansing,CleansingUKDemographicsTask,['manual.ukDemographics'],['clean.ukDemographics'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/uk/CleansingUKDemographicsTask.scala
datalake-cleansing,CentroidTask,[],['clean.centroids'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/centroids/CentroidTask.scala
datalake-cleansing,CleansingCustomerLocationGeoDataTask,['raw.customerLocationGeoData'],['clean.customerLocationGeoData'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/geolocation/customerlocationgeodata/CleansingCustomerLocationGeoDataTask.scala
datalake-cleansing,CleansingPostalCodeHierarchyTask,['manual.postalCodeHierarchy'],['clean.postalCodeHierarchy'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/gfk/CleansingPostalCodeHierarchyTask.scala
datalake-cleansing,CleansingNutsConversionTask,['manual.NUTSConversion'],['clean.NUTSConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/nuts/conversion/CleansingNutsConversionTask.scala
datalake-cleansing,CleansingNutsTask,['manual.NUTS'],['clean.NUTS'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/nuts/nuts/CleansingNutsTask.scala
datalake-cleansing,AbhPointOfSaleTask,['manual.abhPointsOfSale'],['clean.abhPointsOfSale'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/pos/abh/AbhPointOfSaleTask.scala
datalake-cleansing,CleansingAutoViewPostCodeConversionTask,['manual.autoviewPostCodeConversion'],['clean.autoviewPostCodeConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/autoview/es/CleansingAutoViewPostCodeConversionTask.scala
datalake-cleansing,CleansingPolishPostCodeConversionTask,['manual.polishPostCodeConversion'],['clean.polishPostCodeConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/autoview/pl/CleansingPolishPostCodeConversionTask.scala
datalake-cleansing,CleansingBAGeostructureConversionTask,['manual.geostructureBAConversion'],['clean.geostructureBAConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/ba/CleansingBAGeostructureConversionTask.scala
datalake-cleansing,CleansingHRGeostructureConversionTask,['manual.geostructureHRConversion'],['clean.geostructureHRConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/hr/CleansingHRGeostructureConversionTask.scala
datalake-cleansing,CleansingLTGeostructureConversionTask,['manual.geostructureLTConversion'],['clean.geostructureLTConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/lt/CleansingLTGeostructureConversionTask.scala
datalake-cleansing,CleansingLVGeostructureConversionTask,['manual.geostructureLVConversion'],['clean.geostructureLVConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/lv/CleansingLVGeostructureConversionTask.scala
datalake-cleansing,CleansingRSGeostructureConversionTask,['manual.geostructureRSConversion'],['clean.geostructureRSConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/rs/CleansingRSGeostructureConversionTask.scala
datalake-cleansing,CleansingSIGeostructureConversionTask,['manual.geostructureSIConversion'],['clean.geostructureSIConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/si/CleansingSIGeostructureConversionTask.scala
datalake-cleansing,CleansingSKGeostructureConversionTask,[],['clean.geostructureSKConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/sk/CleansingSKGeostructureConversionTask.scala
datalake-cleansing,HereLocationsTask,['raw.hereLocations'],['clean.hereLocations'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/here/HereLocationsTask.scala
datalake-cleansing,HereMappingsTask,['raw.hereMapping'],['clean.hereMapping'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/heremapping/HereMappingsTask.scala
datalake-cleansing,HereMappingsV2021Task,['raw.hereMappingV2021'],['clean.hereMappingV2021'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/heremappingv2/HereMappingsV2021Task.scala
datalake-cleansing,TableauGeoCodeTask,[],['clean.tableauPostcodes'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/tableau/TableauGeoCodeTask.scala
datalake-cleansing,CleansingGfkTask,['raw.gfkPricing'],['clean.gfkPricing'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/gfk/CleansingGfkTask.scala
datalake-cleansing,CleansingKnowtrexAllegroTask,['raw.knowtrexAllegro'],['clean.knowtrexAllegro'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/allegro/CleansingKnowtrexAllegroTask.scala
datalake-cleansing,CleansingKnowtrexEMMasterDataTask,['raw.knowtrexEMMasterData'],['clean.knowtrexEMMasterData'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/emmasterdata/CleansingKnowtrexEMMasterDataTask.scala
datalake-cleansing,CleansingKnowtrexEMSinglePlatformTask,['raw.knowtrexEMSinglePlatform'],['clean.knowtrexEMSinglePlatform'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/emsingleplatform/CleansingKnowtrexEMSinglePlatformTask.scala
datalake-cleansing,CleansingKnowtrexLikeForLikeMatchingTask,['raw.knowtrexLikeForLikeMatching'],['clean.knowtrexLikeForLikeMatching'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/likeforlikematching/CleansingKnowtrexLikeForLikeMatchingTask.scala
datalake-cleansing,CleansingKnowtrexMarketPlatformTask,['raw.knowtrexMarketPlatform'],['clean.knowtrexMarketPlatform'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/marketplatform/CleansingKnowtrexMarketPlatformTask.scala
