name,qualifiedName,path,mark
manual.commercial.ihsVehicleProductionMonthly,commercial.ihsVehicleProductionMonthly,unknown,raw_dataset
clean.commercial.ihsVehicleProductionMonthly,commercial.ihsVehicleProductionMonthly,unknown,clean_dataset
clean.commercial.ihsVehicleProductionMonthlyRejected,commercial.ihsVehicleProductionMonthlyRejected,unknown,clean_dataset
manual.commercial.ihsVehicleProductionQuarterly,commercial.ihsVehicleProductionQuarterly,unknown,raw_dataset
clean.commercial.ihsVehicleProductionQuarterly,commercial.ihsVehicleProductionQuarterly,unknown,clean_dataset
clean.commercial.ihsVehicleProductionQuarterlyRejected,commercial.ihsVehicleProductionQuarterlyRejected,unknown,clean_dataset
manual.commercial.ihsVehicleSalesMonthly,commercial.ihsVehicleSalesMonthly,unknown,raw_dataset
clean.commercial.ihsVehicleSalesMonthly,commercial.ihsVehicleSalesMonthly,unknown,clean_dataset
clean.commercial.ihsVehicleSalesMonthlyRejected,commercial.ihsVehicleSalesMonthlyRejected,unknown,clean_dataset
manual.commercial.ihsVehicleSalesYearly,commercial.ihsVehicleSalesYearly,unknown,raw_dataset
clean.commercial.ihsVehicleSalesYearly,commercial.ihsVehicleSalesYearly,unknown,clean_dataset
clean.commercial.ihsVehicleSalesYearlyRejected,commercial.ihsVehicleSalesYearlyRejected,unknown,clean_dataset
raw.commercial.inrixRoadFreightIndicators,commercial.inrixRoadFreightIndicators,unknown,raw_dataset
clean.commercial.inrixRoadFreightIndicators,commercial.inrixRoadFreightIndicators,unknown,clean_dataset
clean.commercial.inrixRoadFreightIndicatorsRejected,commercial.inrixRoadFreightIndicatorsRejected,unknown,clean_dataset
raw.commercial.sellOut,commercial.sellOut,unknown,raw_dataset
clean.commercial.sellOut,commercial.sellOut,unknown,clean_dataset
clean.commercial.sellOutRejected,commercial.sellOutRejected,unknown,clean_dataset
raw.commercial.clearTrailerParc,commercial.clearTrailerParc,unknown,raw_dataset
clean.commercial.clearTrailerParc,commercial.clearTrailerParc,unknown,clean_dataset
clean.commercial.clearTrailerParcRejected,commercial.clearTrailerParcRejected,unknown,clean_dataset
raw.commercial.clearTrailerProduction,commercial.clearTrailerProduction,unknown,raw_dataset
clean.commercial.clearTrailerProduction,commercial.clearTrailerProduction,unknown,clean_dataset
clean.commercial.clearTrailerProductionRejected,commercial.clearTrailerProductionRejected,unknown,clean_dataset
manual.commercial.tireReplacement,commercial.tireReplacement,unknown,raw_dataset
clean.commercial.tireReplacement,commercial.tireReplacement,unknown,clean_dataset
clean.commercial.tireReplacementRejected,commercial.tireReplacementRejected,unknown,clean_dataset
manual.commercial.vehiclePark,commercial.vehiclePark,unknown,raw_dataset
clean.commercial.vehiclePark,commercial.vehiclePark,unknown,clean_dataset
clean.commercial.vehicleParkRejected,commercial.vehicleParkRejected,unknown,clean_dataset
clean.gammaOne,gammaOne,unknown,clean_dataset
clean.gammaTwo,gammaTwo,unknown,clean_dataset
clean.ihsConsumption,ihsConsumption,unknown,clean_dataset
manual.officialBusiness,officialBusiness,unknown,raw_dataset
clean.officialBusiness,officialBusiness,unknown,clean_dataset
clean.extraPool2019,extraPool2019,unknown,clean_dataset
clean.extraPoolTill2018,extraPoolTill2018,unknown,clean_dataset
manual.officialLmc,officialLmc,unknown,raw_dataset
clean.officialLmc,officialLmc,unknown,clean_dataset
clean.officials,officials,unknown,clean_dataset
manual.beDemographics,beDemographics,unknown,raw_dataset
clean.beDemographics,beDemographics,unknown,clean_dataset
manual.channelDemographics,channelDemographics,unknown,raw_dataset
clean.channelDemographics,channelDemographics,unknown,clean_dataset
manual.deDemographics,deDemographics,unknown,raw_dataset
clean.deDemographics,deDemographics,unknown,clean_dataset
clean.deDemographicsRejected,deDemographicsRejected,unknown,clean_dataset
manual.esDemographics,esDemographics,unknown,raw_dataset
clean.esDemographics,esDemographics,unknown,clean_dataset
clean.esDemographicsRejected,esDemographicsRejected,unknown,clean_dataset
manual.frDemographics,frDemographics,unknown,raw_dataset
clean.frDemographics,frDemographics,unknown,clean_dataset
