index,project_name,task_name,source_datasets,target_datasets,location
101,datalake-cleansing,CleansingExperianTirePark2020Task,['manual.experianTirePark.by2020'],"['clean.experianTirePark.by2020.link', 'clean.experianTirePark.by2020Rejected.link']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2020Task.scala
102,datalake-cleansing,FrenchCarParkTask,['manual.frenchCarPark.prd'],['clean.frenchCarPark.by2019.link'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/france/FrenchCarParkTask.scala
103,datalake-cleansing,CleansingGermanyTirePark2018Task,['manual.germanTirePark.by2019'],['clean.germanTirePark.by2019.link'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/germany/CleansingGermanyTirePark2018Task.scala
104,datalake-cleansing,CleansingGermanyTirePark2020Task,['manual.germanTirePark.by2020'],['clean.germanTirePark.by2020.link'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/germany/CleansingGermanyTirePark2020Task.scala
105,datalake-cleansing,CleansingTecAllianceCarPark2019Task,['manual.tecAllianceCarPark.by2019'],['clean.tecAllianceCarPark.by2019.link'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/tecalliance/year2019/CleansingTecAllianceCarPark2019Task.scala
106,datalake-cleansing,ExtrapolatedCarParkTask,['manual.extrapolatedCarPark'],['clean.extrapolatedCarPark'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/extrapolatedcarpark/ExtrapolatedCarParkTask.scala
107,datalake-cleansing,CleansingSkuPriorityTask,['manual.skuPriority'],"['clean.skuPriority', 'clean.skuPriorityRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/skupriority/CleansingSkuPriorityTask.scala
108,datalake-cleansing,StrimFutureForecastTask,['manual.strimFutureForecast'],['clean.strimFutureForecast'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/strimfutureforecast/StrimFutureForecastTask.scala
109,datalake-cleansing,SurvivalRateTask,['manual.survivalRate'],['clean.survivalRate'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/survivalrate/SurvivalRateTask.scala
110,datalake-cleansing,VehicleFitmentV2021Task,['manual.vehicleFitmentV2021p02'],['clean.vehicleFitmentV2021'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/bmf/v2021p02/VehicleFitmentV2021Task.scala
111,datalake-cleansing,VehicleFitmentTask,['manual.vehicleFitment'],['clean.vehicleFitment'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/bmf/VehicleFitmentTask.scala
